Timestamp,Gender,Age,City,Region,State,Choose a product category
6/15/2021 10:59:41,Female,15-20,Tier 2 City,Western India,rajasthan,"Accessories(wallets, shoes, jackets etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/15/2021 10:59:48,Male,21-25,Tier 3 City,Western India,Maharashtra,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.)"
6/15/2021 10:59:56,Female,15-20,Tier 1 City,Western India,Maharashtra,"Accessories(wallets, shoes, jackets etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/15/2021 15:02:41,Female,21-25,Tier 3 City,Western India,Rajasthan,"Personal care and grooming products(perfume, makeup products etc.)"
6/15/2021 15:03:35,Female,15-20,Tier 2 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/15/2021 15:04:08,Male,15-20,Tier 1 City,Northern India,Haryana,"Devices(earphones, smart watches, headphones etc.), Novels"
6/15/2021 15:05:36,Male,15-20,Tier 2 City,Northern India,Uttar Pradesh ,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/15/2021 15:14:54,Male,15-20,Tier 1 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/15/2021 15:50:27,Male,15-20,Tier 1 City,Northern India,Haryana ,"Devices(earphones, smart watches, headphones etc.)"
6/15/2021 18:13:25,Male,15-20,Tier 1 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/15/2021 21:26:15,Male,21-25,Tier 1 City,Southern India,kerla,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.)"
6/15/2021 21:26:16,Male,21-25,Tier 3 City,Southern India,kerla,"Accessories(wallets, shoes, jackets etc.), Novels"
6/15/2021 21:26:18,Male,15-20,Tier 3 City,Southern India,kerla,"Devices(earphones, smart watches, headphones etc.), Novels"
6/15/2021 21:26:21,Female,15-20,Tier 2 City,Southern India,kerla,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/15/2021 21:26:24,Female,15-20,Tier 1 City,Southern India,kerla,"Accessories(wallets, shoes, jackets etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
